id	maj_label1	labels1	maj_label2	labels2	maj_label3	labels3
1387264156101840898	NOT ABUSIVE	0; 0; 0				
1382309523851923457	NOT ABUSIVE	0; 0; 0				
1334176621796835328	GROUP	4; 0; 4	ANTI-ISLAM	5; 5; 5; 5; 5	DEROGATION AND DEHUMANIZATION	2; 3; 2; 2; 3
1338387353732308993	NOT ABUSIVE	4; 0; 0				
1337976598717489153	NOT ABUSIVE	0; 0; 1				
1386888373982294016	GROUP	1; 4; 4	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	DEROGATION AND DEHUMANIZATION	2; 2; 2; 3; 2
1402686938214113281	NOT ABUSIVE	0; 0; 0				
1337767628270690304	NOT ABUSIVE	0; 0; 0				
1339469179913601024	NOT ABUSIVE	0; 0; 0				
1428920669341900801	NOT ABUSIVE	0; 0; 0				
1378326668801146883	NOT ABUSIVE	0; 0; 0				
1407015902248374279	NOT ABUSIVE	0; 0; 0				
1422619746969612290	NOT ABUSIVE	0; 0; 0				
1340031688336961537	NOT ABUSIVE	0; 0; 0				
1333881642574819329	GROUP	4; 0; 4	ANTI-CHRISTIANITY	4; 0; 4; 4; 4	THREATENING LANGUAGE; ANIMOSITY	2; 1; 3; 1; 3
1336788011074392064	NOT ABUSIVE	0; 0; 0				
1344272735078391809	NOT ABUSIVE	4; 0; 0				
1431500340193603585	NOT ABUSIVE	0; 0; 4; 2; 0				
1336775342640402433	GROUP	0; 4; 4; 4; 3	ANTI-CHRISTIANITY	4; 1; 4; 0; 4	ANIMOSITY	3; 2; 3; 3; 2
1377708760911773697	NOT ABUSIVE	0; 0; 0; 0; 0				
1356088946887950338	NOT ABUSIVE	0; 0; 0; 0; 0				
1343516609294430209	NOT ABUSIVE	0; 0; 0; 0; 0				
1400799776514490371	GROUP	0; 0; 4; 4; 4	ANTI-JUDAISM	6; 6; 6; 6; 6	THREATENING LANGUAGE	1; 1; 3; 2; 0
1405974772882804736	GROUP	0; 4; 3; 2; 4	ANTI-ISLAM	5; 5; 5; 5; 5	DEROGATION AND DEHUMANIZATION; ANIMOSITY	3; 3; 2; 1; 2
1342159741242527744	NOT ABUSIVE	0; 0; 2; 4; 0				
1405378618046353413	NOT ABUSIVE	0; 0; 0; 0; 0				
1402768995900481537	NOT ABUSIVE	0; 2; 0; 0; 2				
1336883213088636928	NOT ABUSIVE	0; 4; 0; 0; 0				
1339994461787578369	NOT ABUSIVE	0; 4; 0; 0; 0				
1409050574587191299	NOT ABUSIVE	0; 4; 0; 0; 0				
1401415779170590720	NOT ABUSIVE	4; 0; 0; 0; 1				
1343711383146401798	NOT ABUSIVE	0; 4; 0; 0; 0				
1338835861664837633	INDIVIDUAL	4; 3; 0; 3; 3				
1334960264605822976	NOT ABUSIVE	0; 2; 0; 0; 4				
1431992658239672323	NOT ABUSIVE	0; 3; 0; 0; 0				
1403497337381552129	NOT ABUSIVE	0; 0; 4				
1337825039148781568	NOT ABUSIVE	0; 0; 4				
