id	level1	level2	level3	level4	level5
1344756572552130560	NOT-ABUSIVE				
1344736468724572163	NOT-ABUSIVE				
1344713355244822535	ABUS	OTHERS			
1344673959179149312	NOT-ABUSIVE				
1344653945126477825	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	ANIMOSITY
1344636673813078018	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	ANIMOSITY
1344634849966120960	NOT-ABUSIVE				
1344610111348736002	NOT-ABUSIVE				
1344587107315167233	NOT-ABUSIVE				
1344346284048703489	NOT-ABUSIVE				
1344334531978006528	NOT-ABUSIVE				
1344319751728865280	ABUS	IND			
1344294599657971714	NOT-ABUSIVE				
1344281027544559617	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	DEROGATION&DEHUMANIZATION
1344226773261824004	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	DEROGATION&DEHUMANIZATION
1344220272942080001	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	ANIMOSITY
1344209818291208192	NOT-ABUSIVE				
1344051947549192194	NOT-ABUSIVE				
1344019224793124864	NOT-ABUSIVE				
1344000853863120897	NOT-ABUSIVE				
1343943899316957192	NOT-ABUSIVE				
1343917753632256001	NOT-ABUSIVE				
1343882073896071174	NOT-ABUSIVE				
1343844948387516416	NOT-ABUSIVE				
1343622376555245571	NOT-ABUSIVE				
1343502713431191554	NOT-ABUSIVE				
1343490918503096320	ABUS	UNT			
1343490285452611584	NOT-ABUSIVE				
1343355281485529089	NOT-ABUSIVE				
1343326402251288576	NOT-ABUSIVE				
1343310539070570497	NOT-ABUSIVE				
1343177657291333632	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	ANIMOSITY
1343149177816182785	NOT-ABUSIVE				
1343137301912838144	NOT-ABUSIVE				
1343133542440689664	NOT-ABUSIVE				
1343107957618335744	NOT-ABUSIVE				
1343103845958877185	ABUS	IND			
1343055562565627904	NOT-ABUSIVE				
1342986533058408448	NOT-ABUSIVE				
1342974586124726272	ABUS	IND			
1342954343931260935	NOT-ABUSIVE				
1342925349022265344	NOT-ABUSIVE				
1342923158001737729	NOT-ABUSIVE				
1342917165033381889	NOT-ABUSIVE				
1342891348496683008	NOT-ABUSIVE				
1342854871104577536	NOT-ABUSIVE				
1342844289043341314	ABUS	GROUP	RELIGIOUS-HATE	ANTI-CHRISTIANITY	ANIMOSITY
1342830231313387520	NOT-ABUSIVE				
1342822947233411072	NOT-ABUSIVE				
1342809720206352386	NOT-ABUSIVE				
1342734837120118784	ABUS	IND; GROUP	RELIGIOUS-HATE	ANTI-ISLAM	ANIMOSITY
1342638913383510016	NOT-ABUSIVE				
1342614835851390976	NOT-ABUSIVE				
1342570009021841410	NOT-ABUSIVE				
1342523353123475458	ABUS	IND			
